dir,image_size,repo_id,transform,distance_metric,file,distance
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000005.JPEG,-0.0447998046875
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000010.JPEG,-0.03082275390625
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000014.JPEG,-0.0239105224609375
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000016.JPEG,-0.0521240234375
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000017.JPEG,-0.044189453125
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000030.JPEG,-0.0274505615234375
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000042.JPEG,-0.0185089111328125
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000046.JPEG,-0.033416748046875
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000052.JPEG,-0.0265045166015625
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000059.JPEG,-0.052459716796875
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000072.JPEG,-0.0364990234375
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000077.JPEG,-0.07110595703125
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000093.JPEG,-0.0455322265625
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000095.JPEG,-0.042694091796875
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000112.JPEG,-0.0272216796875
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000122.JPEG,-0.041290283203125
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000138.JPEG,-0.0294952392578125
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000144.JPEG,-0.03607177734375
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000145.JPEG,-0.04150390625
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000152.JPEG,-0.0159759521484375
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000153.JPEG,-0.04132080078125
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000165.JPEG,-0.04461669921875
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000166.JPEG,-0.01523590087890625
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000168.JPEG,-0.00762176513671875
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000175.JPEG,-0.040130615234375
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000178.JPEG,-0.05950927734375
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000199.JPEG,-0.0256500244140625
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000205.JPEG,-0.0284576416015625
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000208.JPEG,-0.01548004150390625
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000214.JPEG,-0.0285186767578125
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000226.JPEG,-0.0435791015625
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000227.JPEG,-0.05010986328125
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000231.JPEG,-0.0439453125
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000232.JPEG,-0.03497314453125
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000266.JPEG,-0.0255584716796875
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000271.JPEG,-0.03216552734375
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000290.JPEG,-0.0281982421875
F:\Data\imagenet_adm\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000294.JPEG,-0.05926513671875
