dir,image_size,repo_id,transform,distance_metric,file,distance
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000007.JPEG,-0.057647705078125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000011.JPEG,-0.067626953125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000013.JPEG,-0.046630859375
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000018.JPEG,-0.0506591796875
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000024.JPEG,-0.03985595703125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000027.JPEG,-0.05828857421875
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000034.JPEG,-0.03741455078125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000050.JPEG,-0.044525146484375
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000054.JPEG,-0.03564453125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000058.JPEG,-0.058502197265625
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000063.JPEG,-0.0214385986328125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000066.JPEG,-0.051483154296875
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000071.JPEG,-0.037750244140625
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000092.JPEG,-0.044281005859375
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000099.JPEG,-0.0236053466796875
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000100.JPEG,-0.0712890625
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000102.JPEG,-0.04229736328125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000132.JPEG,-0.0249176025390625
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000156.JPEG,-0.04833984375
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000158.JPEG,-0.0545654296875
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000159.JPEG,-0.022369384765625
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000160.JPEG,-0.04913330078125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000162.JPEG,-0.0293731689453125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000182.JPEG,-0.0540771484375
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000184.JPEG,-0.040496826171875
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000193.JPEG,-0.023712158203125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000207.JPEG,-0.07489013671875
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000211.JPEG,-0.0257568359375
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000224.JPEG,-0.0299835205078125
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000225.JPEG,-0.0277099609375
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000229.JPEG,-0.0396728515625
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000230.JPEG,-0.04339599609375
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000233.JPEG,-0.03558349609375
F:\Data\imagenet_glide\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000251.JPEG,-0.032135009765625
