dir,image_size,repo_id,transform,distance_metric,file,distance
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000008.JPEG,-0.0343017578125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000012.JPEG,-0.044342041015625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000023.JPEG,-0.0158233642578125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000026.JPEG,-0.0250396728515625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000049.JPEG,-0.015350341796875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000065.JPEG,-0.036529541015625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000079.JPEG,-0.046661376953125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000088.JPEG,-0.06744384765625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000096.JPEG,-0.031402587890625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000106.JPEG,-0.025054931640625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000110.JPEG,-0.044647216796875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000113.JPEG,-0.06097412109375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000120.JPEG,-0.05523681640625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000157.JPEG,-0.031463623046875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000188.JPEG,-0.055572509765625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000190.JPEG,-0.023590087890625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000195.JPEG,-0.039215087890625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000196.JPEG,-0.049530029296875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000197.JPEG,-0.0268096923828125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000201.JPEG,-0.042144775390625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000215.JPEG,-0.012664794921875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000222.JPEG,-0.022552490234375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000236.JPEG,-0.0169830322265625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000274.JPEG,-0.03662109375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000282.JPEG,-0.0272979736328125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000283.JPEG,-0.043365478515625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000284.JPEG,-0.01409912109375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000287.JPEG,-0.021392822265625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000289.JPEG,-0.028717041015625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000301.JPEG,-0.06671142578125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000303.JPEG,-0.04241943359375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000309.JPEG,-0.038909912109375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000337.JPEG,-0.0640869140625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000338.JPEG,-0.035186767578125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000362.JPEG,-0.059173583984375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000387.JPEG,-0.0143280029296875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000390.JPEG,-0.0308685302734375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000397.JPEG,-0.023773193359375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000405.JPEG,-0.06689453125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000408.JPEG,-0.050079345703125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000410.JPEG,-0.024566650390625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000411.JPEG,-0.041900634765625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000446.JPEG,-0.063232421875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000449.JPEG,-0.046417236328125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000451.JPEG,-0.0096282958984375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000457.JPEG,-0.03277587890625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000481.JPEG,-0.03314208984375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000486.JPEG,-0.026641845703125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000490.JPEG,-0.032806396484375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000496.JPEG,-0.047515869140625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000510.JPEG,-0.0269775390625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000514.JPEG,-0.0227813720703125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000529.JPEG,-0.0162353515625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000533.JPEG,-0.0340576171875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000534.JPEG,-0.038177490234375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000542.JPEG,-0.0253753662109375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000555.JPEG,-0.031982421875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000561.JPEG,-0.0241546630859375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000589.JPEG,-0.04315185546875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000597.JPEG,-0.05291748046875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000634.JPEG,-0.03790283203125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000650.JPEG,-0.0210113525390625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000658.JPEG,-0.053009033203125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000662.JPEG,-0.0301055908203125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000663.JPEG,-0.036834716796875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000673.JPEG,-0.03704833984375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000674.JPEG,-0.0352783203125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000677.JPEG,-0.0284576416015625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000678.JPEG,-0.035186767578125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000679.JPEG,-0.0460205078125
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000688.JPEG,-0.0294036865234375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000689.JPEG,-0.07147216796875
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000703.JPEG,-0.051116943359375
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000711.JPEG,-0.01145172119140625
F:\Data\imagenet_midj\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000712.JPEG,-0.034942626953125
