dir,image_size,repo_id,transform,distance_metric,file,distance
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000037.JPEG,-0.028045654296875
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000056.JPEG,-0.0265045166015625
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000060.JPEG,-0.0220794677734375
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000061.JPEG,-0.045623779296875
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000069.JPEG,-0.04962158203125
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000083.JPEG,-0.03240966796875
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000084.JPEG,-0.061767578125
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000097.JPEG,-0.057159423828125
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000103.JPEG,-0.026763916015625
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000109.JPEG,-0.02691650390625
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000114.JPEG,-0.027008056640625
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000127.JPEG,-0.071533203125
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000141.JPEG,-0.0277099609375
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000146.JPEG,-0.02374267578125
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000161.JPEG,-0.05218505859375
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000170.JPEG,-0.051910400390625
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000185.JPEG,-0.030426025390625
F:\Data\imagenet_sd_14\val\nature,256,CompVis/stable-diffusion-v1-1,crop_256,lpips_vgg_2,ILSVRC2012_val_00000186.JPEG,-0.05633544921875
