CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.3404587715287304,0.4183007662409236,0.9938271604938271
571,midj,0.37928669410150895,0.41199847914453375,0.9876543209876543
571,sd_15,0.45332266422801415,0.4705820012343764,0.9506172839506173
084,bgan,0.40782655083066605,0.44252976517959197,0.9814814814814815
084,midj,0.3764288980338363,0.43413320785382276,0.9876543209876543
084,sd_15,0.34224965706447186,0.4173239424578455,0.9938271604938271
661,bgan,0.3883173296753543,0.46016995316715414,0.9876543209876543
661,midj,0.5293400396281054,0.5482232991151681,0.9691358024691358
661,sd_15,0.258344764517604,0.36536925188413877,0.9814814814814815
857,bgan,0.3224356043286084,0.3862518258923021,0.9938271604938271
857,midj,0.4649443682365494,0.46471028962561245,0.9629629629629629
857,sd_15,0.2841411370217955,0.3687715346553321,0.9814814814814815
489,bgan,0.4244398719707361,0.5009124026113635,0.9938271604938271
489,midj,0.23525377229080935,0.35497307912578974,1.0
489,sd_15,0.23651120256058528,0.3582285695560947,0.9938271604938271
969,bgan,0.3581771071483006,0.4263953682185909,1.0
969,midj,0.38336381649138856,0.42914317242107125,0.9938271604938271
969,sd_15,0.5021719250114312,0.5336784628101854,0.9814814814814815
177,bgan,0.26386983691510446,0.36120278784165805,0.9938271604938271
177,midj,0.4453208352385307,0.43711606353949883,0.9753086419753086
177,sd_15,0.21985977747294622,0.35689794623212306,1.0
541,bgan,0.3694177716811461,0.43355587864662914,0.9876543209876543
541,midj,0.34537418076512727,0.42340235768776213,0.9938271604938271
541,sd_15,0.3768861454046639,0.44361372480928174,1.0
000,bgan,0.5020576131687243,0.5130864627072527,0.9444444444444444
000,midj,0.5743789056546258,0.5935410169408147,0.9320987654320988
000,sd_15,0.47668038408779145,0.5159738427974746,0.9814814814814815
380,bgan,0.3262459990855052,0.4053716123135992,0.9938271604938271
380,midj,0.3185490016765737,0.4088552451258544,1.0
380,sd_15,0.3412970583752477,0.4120608794479253,0.9938271604938271
