CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.6541304679164761,0.6692547812845856,0.9382716049382716
571,midj,0.7302621551592745,0.7606636167684588,0.8518518518518519
571,sd_15,0.34666971498247223,0.44151667078182055,0.9753086419753086
084,bgan,0.6492531626276482,0.6914693475962136,0.8580246913580247
084,midj,0.6326207895137936,0.6742658607330002,0.9753086419753086
084,sd_15,0.5762459990855053,0.6579973011395356,1.0
661,bgan,0.6165028196921201,0.6488638934314906,0.9074074074074074
661,midj,0.7151920438957476,0.7600684200583863,0.9320987654320988
661,sd_15,0.34205913732662707,0.44176270548661856,1.0
857,bgan,0.4068167962200883,0.43775946962762413,0.9629629629629629
857,midj,0.7621742112482853,0.7275591461918718,0.6666666666666666
857,sd_15,0.3660455723212925,0.422968311641947,0.9938271604938271
489,bgan,0.5363130620332266,0.5620544935994085,0.9814814814814815
489,midj,0.44840725499161715,0.49883570317976866,0.9938271604938271
489,sd_15,0.3590725499161714,0.4106872056738261,0.9814814814814815
969,bgan,0.3869836915104405,0.43372000123986876,0.9876543209876543
969,midj,0.37370446578265504,0.44842811046548087,0.9938271604938271
969,sd_15,0.3500228623685414,0.4417113001476211,1.0
177,bgan,0.3662360920591373,0.4143165108107061,0.9320987654320988
177,midj,0.5643575674439871,0.5972563366338637,0.9691358024691358
177,sd_15,0.26306965401615606,0.3996564104944668,1.0
541,bgan,0.6622275567748819,0.6852579429725596,0.9691358024691358
541,midj,0.6506630086877,0.654688334375052,0.9629629629629629
541,sd_15,0.4202674897119342,0.43310057469742225,1.0
000,bgan,0.7122389879591525,0.7238923881037445,0.8148148148148148
000,midj,0.8199397957628409,0.8391135889515542,0.7160493827160493
000,sd_15,0.7924668495656152,0.8206617207301498,0.8024691358024691
380,bgan,0.3762383782959915,0.44738250803478363,0.9506172839506173
380,midj,0.41483767718335623,0.49966217092731136,1.0
380,sd_15,0.2381687242798354,0.3853206733966211,0.9938271604938271
