CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.9009678402682517,0.9243086277197553,0.5555555555555556
571,midj,0.6551973784484073,0.7210408756170632,0.9259259259259259
571,sd_15,0.6044810242341107,0.7149237630087757,1.0
084,bgan,0.9068739521414418,0.9357259031606701,0.6604938271604939
084,midj,0.7022938576436517,0.728696426201256,0.9629629629629629
084,sd_15,0.2381496723060509,0.42198130961144176,0.9938271604938271
661,bgan,0.9600670629477214,0.9736811830129577,0.345679012345679
661,midj,0.5342173449169334,0.5923707552089809,0.9753086419753086
661,sd_15,0.48052888279225725,0.6095816519492205,1.0
857,bgan,0.711819844535894,0.7692814321954501,0.9259259259259259
857,midj,0.7495046486816034,0.7609816309188616,0.7962962962962963
857,sd_15,0.5283874409388812,0.610154590712299,1.0
489,bgan,0.6723632068282274,0.7476918448337853,0.9876543209876543
489,midj,0.1769547325102881,0.33663968405528877,1.0
489,sd_15,0.26531778692272523,0.38999093950120456,1.0
969,bgan,0.7402453894223441,0.7792898566060875,0.8641975308641975
969,midj,0.22443225118122237,0.3749713076902689,1.0
969,sd_15,0.2965630239292791,0.3830548802035203,0.9938271604938271
177,bgan,0.8821444901691815,0.9089728879605246,0.6296296296296297
177,midj,0.8249123609205914,0.866207517815961,0.8765432098765432
177,sd_15,0.8828684651729919,0.9202365970227679,0.8395061728395061
541,bgan,0.9614007011126352,0.9656680819468053,0.22839506172839505
541,midj,0.8198826398414876,0.8081045062345792,0.6234567901234568
541,sd_15,0.7851318396585886,0.787885502175365,0.6111111111111112
000,bgan,0.896014327084286,0.9216807588106253,0.654320987654321
000,midj,0.9479881115683585,0.9655084821607999,0.4876543209876543
000,sd_15,0.9603337905807042,0.9762606522756697,0.24074074074074073
380,bgan,0.8187014174668497,0.8507179474299001,0.691358024691358
380,midj,0.6572930955647005,0.7624819354224803,0.9876543209876543
380,sd_15,0.811042524005487,0.8753439712323281,0.9876543209876543
