CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.8100899253162627,0.7392548708994588,0.5493827160493827
571,midj,0.5937738149672306,0.5437393718183644,0.7839506172839507
571,sd_15,0.5915637860082305,0.5093560665524364,0.691358024691358
084,bgan,0.852804450541076,0.8048480168319425,0.37037037037037035
084,midj,0.6880429812528578,0.6173927608928467,0.7962962962962963
084,sd_15,0.26017375400091447,0.3625106382509613,0.9876543209876543
661,bgan,0.8955570797134582,0.8438858522946808,0.2777777777777778
661,midj,0.44253924706599607,0.4376798367228899,0.9259259259259259
661,sd_15,0.44627343392775487,0.4291744908674131,0.8641975308641975
857,bgan,0.41228471269623523,0.43522187592893824,0.9691358024691358
857,midj,0.6169791190367322,0.6013557631587072,0.9074074074074074
857,sd_15,0.4439109891784789,0.4405685689581191,0.9567901234567902
489,bgan,0.6325255296448712,0.5614451108399263,0.7037037037037037
489,midj,0.17847889041304682,0.3367564183640226,1.0
489,sd_15,0.26181222374638013,0.35995622921200143,0.9814814814814815
969,bgan,0.49055022100289586,0.4823413092949609,0.9074074074074074
969,midj,0.2884468830970889,0.369386501881312,0.9814814814814815
969,sd_15,0.27030940405426,0.37680022150695364,1.0
177,bgan,0.8167581161408323,0.7870295777807923,0.5617283950617284
177,midj,0.7355586038713612,0.6513086339699196,0.6851851851851852
177,sd_15,0.8434308794391099,0.7571505891291501,0.41358024691358025
541,bgan,0.9039399481786312,0.8915030028632247,0.37037037037037035
541,midj,0.7697378448407255,0.7698999646636357,0.7530864197530864
541,sd_15,0.7025986892242037,0.7176885142708029,0.7962962962962963
000,bgan,0.7568587105624143,0.7219766841317685,0.6296296296296297
000,midj,0.9295076969974089,0.8707276257007784,0.16666666666666666
000,sd_15,0.9410912970583752,0.8836255880479782,0.13580246913580246
380,bgan,0.6848803536046334,0.6662213240784428,0.8209876543209876
380,midj,0.5580323121475386,0.49940693720552914,0.7469135802469136
380,sd_15,0.7867703094040541,0.7072308626435504,0.4012345679012346
