CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.8238835543362293,0.865743144003986,0.7962962962962963
571,midj,0.7146395366559976,0.7127983278504668,0.7407407407407407
571,sd_15,0.4442920286541685,0.5171770450911213,1.0
084,bgan,0.8293705227861605,0.8370301818076722,0.6049382716049383
084,midj,0.5292257277853986,0.532712500553406,0.9876543209876543
084,sd_15,0.2661179698216735,0.3912657977607469,0.9814814814814815
661,bgan,0.8407254991617131,0.884225128446203,0.8271604938271605
661,midj,0.6995122694711172,0.7311272402608338,0.9135802469135802
661,sd_15,0.46898338667885997,0.5522939781143168,1.0
857,bgan,0.7419600670629477,0.7657639153454974,0.8024691358024691
857,midj,0.7338439262307576,0.6986103747445576,0.6419753086419753
857,sd_15,0.41148452979728695,0.440814293212314,0.9691358024691358
489,bgan,0.8345145557079714,0.860130744053075,0.7530864197530864
489,midj,0.31047096479195246,0.4208736935374609,0.9938271604938271
489,sd_15,0.5480109739368999,0.5801413216403759,0.9691358024691358
969,bgan,0.645900015241579,0.6734749782074523,0.9382716049382716
969,midj,0.3148148148148148,0.4008706816013975,1.0
969,sd_15,0.4056927297668039,0.43963744365543556,0.9876543209876543
177,bgan,0.604023776863283,0.6045765708643276,0.8209876543209876
177,midj,0.7266803840877916,0.7292099393584192,0.7222222222222222
177,sd_15,0.5271681146166742,0.6019819551489158,0.9629629629629629
541,bgan,0.8465172991921964,0.8662358346075981,0.6049382716049383
541,midj,0.7340725499161713,0.7155830419371012,0.7160493827160493
541,sd_15,0.6925392470659959,0.6560883467248055,0.7098765432098766
000,bgan,0.7762155159274501,0.8081705005503339,0.7716049382716049
000,midj,0.8928135954884925,0.9193346700651956,0.7283950617283951
000,sd_15,0.8650358177107148,0.9062493342810389,0.8703703703703703
380,bgan,0.6270385611949397,0.6141793607652833,0.808641975308642
380,midj,0.4716887669562567,0.5122730651928332,0.9629629629629629
380,sd_15,0.42230605090687395,0.5019003065451103,0.9876543209876543
