class,model,frechet_distance
571,bgan,36.55992
571,midj,34.243725
571,sd_15,37.915157
084,bgan,22.333153
084,midj,23.767262
084,sd_15,30.766315
661,bgan,24.92617
661,midj,23.183212
661,sd_15,27.0565
857,bgan,30.481934
857,midj,38.927376
857,sd_15,32.136364
489,bgan,39.95427
489,midj,39.2231
489,sd_15,31.39746
969,bgan,28.693619
969,midj,32.229103
969,sd_15,37.585106
177,bgan,26.205345
177,midj,29.945663
177,sd_15,31.489342
541,bgan,40.6821
541,midj,42.618877
541,sd_15,35.325714
000,bgan,24.552952
000,midj,42.363262
000,sd_15,40.842056
380,bgan,18.21067
380,midj,18.86581
380,sd_15,24.250443
