class,model,kernel,mmd²,p_value,effect_size,params
571,bgan,rbf_kernel,0.1592193841934204,0.0019960079807788134,0.00013927185500506312,"{'gamma': tensor(0.0009, device='cuda:0')}"
571,bgan,laplacian_kernel,0.09521806240081787,0.0019960079807788134,0.0001827039959607646,"{'sigma': tensor(521.1603, device='cuda:0')}"
571,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 3.2594e+00,  1.9859e-02, -2.9258e-03,  ...,  2.2028e-01,
         -1.6379e-01,  6.6755e-02],
        [ 1.9863e-02,  3.7623e+00,  7.3081e-02,  ...,  2.4002e-01,
         -9.2611e-02,  1.9153e-01],
        [-2.9131e-03,  7.3084e-02,  2.7161e+00,  ..., -3.8207e-01,
         -1.8279e-01, -1.0385e-01],
        ...,
        [ 2.2030e-01,  2.4002e-01, -3.8208e-01,  ...,  3.2370e+00,
          3.7027e-01,  7.5146e-02],
        [-1.6378e-01, -9.2619e-02, -1.8280e-01,  ...,  3.7028e-01,
          3.8302e+00, -1.1491e-01],
        [ 6.6739e-02,  1.9154e-01, -1.0385e-01,  ...,  7.5122e-02,
         -1.1494e-01,  3.1230e+00]], device='cuda:0')}"
571,bgan,mixed_kernel,0.12721872329711914,0.0019960079807788134,0.12721872329711914,"{'gamma_rbf': tensor(0.0009, device='cuda:0'), 'sigma_lap': tensor(521.1603, device='cuda:0'), 'alpha': 0.5}"
571,bgan,w2_ot,24.080297192425903,,,{}
571,midj,rbf_kernel,0.07805609703063965,0.0019960079807788134,6.827696779510006e-05,"{'gamma': tensor(0.0009, device='cuda:0')}"
571,midj,laplacian_kernel,0.04463613033294678,0.0019960079807788134,8.56476035551168e-05,"{'sigma': tensor(521.1603, device='cuda:0')}"
571,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 3.7669e+00, -7.5386e-02,  1.8476e-02,  ..., -1.0866e-01,
         -3.7508e-01, -2.8819e-01],
        [-7.5366e-02,  3.5919e+00,  2.0714e-01,  ...,  2.8090e-01,
          1.1736e-01, -1.9806e-01],
        [ 1.8494e-02,  2.0713e-01,  2.9146e+00,  ...,  1.5078e-01,
         -3.3094e-03,  5.8572e-01],
        ...,
        [-1.0864e-01,  2.8087e-01,  1.5078e-01,  ...,  4.7486e+00,
          1.4514e-01,  7.4497e-02],
        [-3.7508e-01,  1.1737e-01, -3.2689e-03,  ...,  1.4512e-01,
          3.8291e+00,  2.7923e-02],
        [-2.8822e-01, -1.9804e-01,  5.8571e-01,  ...,  7.4505e-02,
          2.7951e-02,  3.5450e+00]], device='cuda:0')}"
571,midj,mixed_kernel,0.061346232891082764,0.0019960079807788134,0.061346232891082764,"{'gamma_rbf': tensor(0.0009, device='cuda:0'), 'sigma_lap': tensor(521.1603, device='cuda:0'), 'alpha': 0.5}"
571,midj,w2_ot,23.26369586719002,,,{}
571,sd_15,rbf_kernel,0.11481630802154541,0.0019960079807788134,0.00010043173824669793,"{'gamma': tensor(0.0009, device='cuda:0')}"
571,sd_15,laplacian_kernel,0.08702969551086426,0.0019960079807788134,0.0001669921912252903,"{'sigma': tensor(521.1603, device='cuda:0')}"
