CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.3219021490626429,0.3909460805456698,0.9814814814814815
571,midj,0.5244246303917086,0.5319184561324136,0.9259259259259259
571,sd_15,0.5711019661636946,0.5930239686979651,0.9382716049382716
084,bgan,0.26474622770919065,0.36736006703871016,1.0
084,midj,0.6139689071787837,0.6510937170378968,0.9444444444444444
084,sd_15,0.7244322511812223,0.7588189029494867,0.9876543209876543
661,bgan,0.25468678555098306,0.3661959765552433,1.0
661,midj,0.5396281054717269,0.5337521000382642,0.9135802469135802
661,sd_15,0.5381039475689682,0.5332613195050395,0.9074074074074074
857,bgan,0.1742112482853224,0.3358988641852428,1.0
857,midj,0.3252171925011431,0.4000802722912711,0.9876543209876543
857,sd_15,0.5307879896357263,0.5589393214732408,0.9382716049382716
489,bgan,0.1771452522481329,0.33621105514473704,1.0
489,midj,0.4357186404511507,0.500949283132806,0.9876543209876543
489,sd_15,0.6675049535131838,0.6467606384016793,0.7962962962962963
969,bgan,0.2967916476146929,0.37642948574716395,0.9876543209876543
969,midj,0.43518518518518523,0.4830654643014012,1.0
969,sd_15,0.722603261697912,0.7455606208074936,0.8395061728395061
177,bgan,0.34647919524462734,0.4029032749782767,0.9814814814814815
177,midj,0.6547401310775796,0.6542887782892016,0.8950617283950617
177,sd_15,0.31870141746684955,0.3867823665532467,0.9938271604938271
541,bgan,0.25487730528882796,0.3587837416476466,0.9938271604938271
541,midj,0.41697149824721846,0.438664515053282,0.9567901234567902
541,sd_15,0.5270919067215363,0.5075690620063932,0.9074074074074074
000,bgan,0.16826703246456332,0.3345927278021611,1.0
000,midj,0.3360006096631611,0.4121934465232576,0.9814814814814815
000,sd_15,0.30243103185490017,0.37880073029328054,0.9753086419753086
380,bgan,0.33672458466697147,0.38513962207012575,0.9876543209876543
380,midj,0.3858405730833714,0.41033350336948576,1.0
380,sd_15,0.47576588934613623,0.49492904776950425,1.0
