,class,metric,bgan,midj,sd_15
0,571,AUROC,0.44173906416704767,0.6297058375247676,0.46780216430422195
1,571,AUPRC,0.4783560531276755,0.5886753122356423,0.4909682142454581
2,571,FPR95,0.9876543209876543,0.8333333333333334,0.9444444444444444
3,084,AUROC,0.5116598079561042,0.5683584819387288,0.6259335467154397
4,084,AUPRC,0.5239752339646164,0.5841238447237618,0.6631355943601955
5,084,FPR95,0.9629629629629629,0.9629629629629629,0.9506172839506173
6,661,AUROC,0.51440329218107,0.6767261088248743,0.7266422801402226
7,661,AUPRC,0.516766423940191,0.642328141029252,0.721980027605332
8,661,FPR95,0.9320987654320988,0.7283950617283951,0.7345679012345679
9,857,AUROC,0.4408245694253925,0.43861454046639237,0.6876238378295991
10,857,AUPRC,0.48183829870268857,0.4566653258238708,0.6867720502423741
11,857,FPR95,0.9876543209876543,0.9691358024691358,0.8209876543209876
12,489,AUROC,0.27819692120103645,0.3575293400396281,0.6536351165980796
13,489,AUPRC,0.3737395503149615,0.4308568114043052,0.6844856306012685
14,489,FPR95,1.0,0.9938271604938271,0.9074074074074074
15,969,AUROC,0.43884316415180613,0.4340420667581161,0.5430574607529339
16,969,AUPRC,0.4589625011753274,0.45161090688591654,0.5358412959140134
17,969,FPR95,0.9938271604938271,0.9506172839506173,0.9135802469135802
18,177,AUROC,0.6191510440481633,0.6402606310013718,0.6151501295534216
19,177,AUPRC,0.6695066039780266,0.6307687161123128,0.5898639331309421
20,177,FPR95,0.9074074074074074,0.7962962962962963,0.8580246913580247
21,541,AUROC,0.42234415485444293,0.7634125895442768,0.7483996342021033
22,541,AUPRC,0.49313520801111627,0.809220191235374,0.7774906879881146
23,541,FPR95,0.9753086419753086,0.8641975308641975,0.8827160493827161
24,000,AUROC,0.4535512879134278,0.4505791800030483,0.7394833104709646
25,000,AUPRC,0.48416200374483953,0.4788901687783256,0.7466124236494772
26,000,FPR95,0.9814814814814815,0.9938271604938271,0.8950617283950617
27,380,AUROC,0.45134125895442767,0.546677335771986,0.5192424935223289
28,380,AUPRC,0.4919313996552783,0.5465038828745258,0.5462932990846495
29,380,FPR95,0.9753086419753086,0.8827160493827161,0.8950617283950617
