CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.4950083828684652,0.49102351018702123,0.9320987654320988
571,midj,0.6516537113244932,0.5967421379533742,0.7530864197530864
571,sd_15,0.6386983691510442,0.6223564825923606,0.9197530864197531
084,bgan,0.3789056546258192,0.4278235300276088,0.9876543209876543
084,midj,0.6823654930650815,0.6820261709774875,0.9629629629629629
084,sd_15,0.8135192805974698,0.8189690084052272,0.8024691358024691
661,bgan,0.4547706142356348,0.4967787754752988,0.9691358024691358
661,midj,0.46014327084285933,0.4717872941770043,0.9691358024691358
661,sd_15,0.517908855357415,0.54971251883613,0.9691358024691358
857,bgan,0.28848498704465786,0.37475144107850805,1.0
857,midj,0.41731443377533917,0.4596219971341726,0.9938271604938271
857,sd_15,0.39045115073921655,0.42805980245392794,0.9753086419753086
489,bgan,0.19234872732815117,0.3401473670893931,0.9814814814814815
489,midj,0.6053574150281968,0.6381227353823167,0.9567901234567902
489,sd_15,0.6952446273433928,0.6910441224333528,0.7469135802469136
969,bgan,0.4431108062795306,0.46568831311492775,0.9382716049382716
969,midj,0.5013336381649138,0.5248764777143106,0.9629629629629629
969,sd_15,0.539475689681451,0.5508392061575096,0.9259259259259259
177,bgan,0.4597241274196007,0.4764210226797626,0.9629629629629629
177,midj,0.70938119189148,0.6884592673880139,0.7037037037037037
177,sd_15,0.25365797896662096,0.36575640457343506,1.0
541,bgan,0.39376619417771674,0.42273236339295317,0.9567901234567902
541,midj,0.48422496570644713,0.4891977811498486,0.9567901234567902
541,sd_15,0.38942234415485444,0.42281073290356214,0.9876543209876543
000,bgan,0.4036351165980796,0.4397411915652115,0.9938271604938271
000,midj,0.5150510592897424,0.5616305570137364,0.9876543209876543
000,sd_15,0.4934461210181375,0.5597114484378196,0.9753086419753086
380,bgan,0.38100137174211246,0.4103845857167968,0.9753086419753086
380,midj,0.4200579180003048,0.43473606774614176,0.9938271604938271
380,sd_15,0.3364578570339887,0.4081737786616899,1.0
