CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.6891479957323579,0.6338449247527802,0.7469135802469136
571,midj,0.7543438500228624,0.6999803946739116,0.6049382716049383
571,sd_15,0.3185490016765737,0.37779061252876456,0.9320987654320988
084,bgan,0.7074759945130316,0.6662707754922808,0.6296296296296297
084,midj,0.7252705380277397,0.637005449460573,0.6296296296296297
084,sd_15,0.4063023929279073,0.41385015387353885,0.8950617283950617
661,bgan,0.6961210181374791,0.6588094663067996,0.6975308641975309
661,midj,0.7199740893156531,0.630098785767393,0.6975308641975309
661,sd_15,0.3033836305441243,0.3730623897703599,0.9320987654320988
857,bgan,0.5771985977747295,0.5263941599346856,0.7160493827160493
857,midj,0.8079561042524005,0.7920431259524792,0.7160493827160493
857,sd_15,0.5342935528120714,0.4867847166641658,0.8395061728395061
489,bgan,0.4978280749885688,0.47230804198904364,0.8395061728395061
489,midj,0.4401386983691511,0.4343865617331155,0.9691358024691358
489,sd_15,0.4248971193415638,0.4269890323643223,0.9444444444444444
969,bgan,0.423487273281512,0.4773327055772941,0.9444444444444444
969,midj,0.38869836915104405,0.4098337950299489,0.9567901234567902
969,sd_15,0.23559670781893005,0.3524305617149998,0.9876543209876543
177,bgan,0.5296829751562262,0.5434261570004726,0.7901234567901234
177,midj,0.6600746837372352,0.5762338620048395,0.7469135802469136
177,sd_15,0.4208962048468221,0.4155852611628301,0.8641975308641975
541,bgan,0.7112101813747904,0.67416562697646,0.7530864197530864
541,midj,0.572892851699436,0.5282453051045493,0.8518518518518519
541,sd_15,0.42013412589544274,0.4314533140102269,0.9074074074074074
000,bgan,0.7530102118579485,0.7524829910885509,0.7098765432098766
000,midj,0.7656607224508458,0.7455679217806395,0.6481481481481481
000,sd_15,0.6541304679164762,0.6010198519604377,0.7592592592592593
380,bgan,0.4266499009297363,0.4729682161855251,0.9259259259259259
380,midj,0.44017680231672,0.4251104987244602,0.8641975308641975
380,sd_15,0.1707056851089773,0.3407454211627735,0.9938271604938271
