CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.9092363968907179,0.8634124723740411,0.24691358024691357
571,midj,0.7736244474927603,0.7272250939542559,0.6604938271604939
571,sd_15,0.593316567596403,0.5326063409642252,0.8703703703703703
084,bgan,0.8887745770461821,0.8723809601514363,0.2839506172839506
084,midj,0.586153025453437,0.5196602547590674,0.9197530864197531
084,sd_15,0.14654778235025148,0.3401626192704844,0.9753086419753086
661,bgan,0.9358710562414266,0.893713310069088,0.14814814814814814
661,midj,0.7144871208657216,0.6651177656392149,0.7901234567901234
661,sd_15,0.5115836000609664,0.4672490446853943,0.8271604938271605
857,bgan,0.8417162017985063,0.7835196068375444,0.35802469135802467
857,midj,0.8047553726566072,0.7921319208294376,0.5802469135802469
857,sd_15,0.6346593507087334,0.555594173225735,0.7160493827160493
489,bgan,0.9228395061728395,0.8905869602847281,0.24074074074074073
489,midj,0.33710562414266115,0.3860072605210544,0.9135802469135802
489,sd_15,0.5659198292943148,0.5241334183039665,0.9074074074074074
969,bgan,0.7855509830818472,0.7295715480033567,0.5432098765432098
969,midj,0.46723060509068737,0.44298127431142376,0.9135802469135802
969,sd_15,0.4865112025605852,0.47073205136399054,0.9074074074074074
177,bgan,0.7489711934156378,0.7320346437229388,0.6419753086419753
177,midj,0.7423411065386374,0.6894693251773067,0.6851851851851852
177,sd_15,0.6747828074988569,0.5687682208978284,0.6728395061728395
541,bgan,0.9632677945435146,0.960211166817916,0.16049382716049382
541,midj,0.8291037951531779,0.8375762724766093,0.6172839506172839
541,sd_15,0.7833028501752781,0.8175109451112811,0.7777777777777778
000,bgan,0.8736473098613016,0.8504150059017309,0.3888888888888889
000,midj,0.8441548544429204,0.804221507024165,0.6481481481481481
000,sd_15,0.9613625971650662,0.899200953237605,0.06790123456790123
380,bgan,0.8190062490474013,0.7742135224640991,0.4506172839506173
380,midj,0.5889346136259717,0.5085784449640556,0.7716049382716049
380,sd_15,0.6171696387745771,0.519755717366482,0.6851851851851852
