CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.9192577351013566,0.8751032730542228,0.17901234567901234
571,midj,0.8099375095259869,0.7808873353988653,0.6419753086419753
571,sd_15,0.5351318396585887,0.4755498433589944,0.808641975308642
084,bgan,0.8999390336838895,0.8868429561353327,0.2962962962962963
084,midj,0.6079484834628868,0.5467278339566054,0.8888888888888888
084,sd_15,0.1718106995884774,0.3511615206741668,0.9567901234567902
661,bgan,0.9314128943758573,0.8809436629178566,0.12962962962962962
661,midj,0.772595640908398,0.7115832137819129,0.6419753086419753
661,sd_15,0.553802773967383,0.4876614400223103,0.7901234567901234
857,bgan,0.8513946044810243,0.7934473737421024,0.345679012345679
857,midj,0.7806355738454505,0.7857582310282019,0.7777777777777778
857,sd_15,0.5696159122085048,0.5122918682719806,0.8271604938271605
489,bgan,0.8986053955189757,0.8581674492296859,0.37037037037037035
489,midj,0.22637555250723976,0.34964706937072465,1.0
489,sd_15,0.4188004877305289,0.42053974186874277,0.9506172839506173
969,bgan,0.825293400396281,0.7585575080715173,0.47530864197530864
969,midj,0.31477671086724585,0.37863269237966424,0.9814814814814815
969,sd_15,0.43800487730528886,0.46858106371160346,0.9938271604938271
177,bgan,0.7384163999390336,0.7088657757703447,0.654320987654321
177,midj,0.806203322664228,0.7594339128841334,0.5617283950617284
177,sd_15,0.6107300716354214,0.5191966006688729,0.6481481481481481
541,bgan,0.9572473708276178,0.9489052674818593,0.13580246913580246
541,midj,0.7972488949855204,0.754514099061292,0.6419753086419753
541,sd_15,0.7837600975461058,0.8033942172629913,0.7345679012345679
000,bgan,0.9202484377381497,0.8935876551809028,0.25308641975308643
000,midj,0.8937661941777169,0.830533516727444,0.3333333333333333
000,sd_15,0.9612101813747904,0.9151003430050235,0.06172839506172839
380,bgan,0.8012498094802621,0.7425866028915702,0.46296296296296297
380,midj,0.4834247828074989,0.4556093912043158,0.8271604938271605
380,sd_15,0.5854290504496265,0.5031670361259789,0.7345679012345679
