CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.7760631001371742,0.6786960120795251,0.5185185185185185
571,midj,0.7511812223746379,0.7293787678358044,0.7345679012345679
571,sd_15,0.4158664837677184,0.4239186479664687,0.9320987654320988
084,bgan,0.7226413656454809,0.6700728399940308,0.6296296296296297
084,midj,0.6141213229690596,0.5748698859738358,0.9135802469135802
084,sd_15,0.13385916780978507,0.32913850059724736,0.9938271604938271
661,bgan,0.8114616674287456,0.7249281552727008,0.38271604938271603
661,midj,0.7141822892851699,0.6822652016825755,0.6975308641975309
661,sd_15,0.4861301630848956,0.4549584926349651,0.8950617283950617
857,bgan,0.5900396281054717,0.5304057404859503,0.7716049382716049
857,midj,0.6236854138088705,0.6115876849208153,0.8395061728395061
857,sd_15,0.48883554336229235,0.49335860852994545,0.8950617283950617
489,bgan,0.5996799268404206,0.5226994239642914,0.7222222222222222
489,midj,0.2804069501600366,0.3672804615439635,0.9691358024691358
489,sd_15,0.302659655540314,0.3725983495835111,0.9567901234567902
969,bgan,0.6880429812528578,0.6611254436879513,0.7222222222222222
969,midj,0.30471726870903826,0.38387765984522054,0.9629629629629629
969,sd_15,0.4242874561804603,0.42795881513161765,0.9320987654320988
177,bgan,0.6000990702636793,0.5666161484582903,0.8827160493827161
177,midj,0.7301859472641365,0.7136747681163864,0.8271604938271605
177,sd_15,0.3910608139003201,0.4240232526922709,0.9320987654320988
541,bgan,0.8554717268709038,0.826429620695386,0.48148148148148145
541,midj,0.6591982929431488,0.602392487114591,0.7716049382716049
541,sd_15,0.6729157140679775,0.6603574295132494,0.9197530864197531
000,bgan,0.7874942844078646,0.7501394391583487,0.6172839506172839
000,midj,0.7711476909007774,0.7200660256946978,0.6604938271604939
000,sd_15,0.888736473098613,0.8402504999320923,0.5802469135802469
380,bgan,0.7181450998323426,0.6455498214654738,0.6419753086419753
380,midj,0.43789056546258187,0.44271791272529587,0.8888888888888888
380,sd_15,0.49363664075598235,0.45480073413781075,0.7839506172839507
