CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.3623685413808871,0.4147999213653683,0.9938271604938271
571,midj,0.6406416704770614,0.6541010780573053,0.8950617283950617
571,sd_15,0.4840725499161713,0.4635061028183154,0.9012345679012346
084,bgan,0.47938576436518826,0.4589993565946713,0.9135802469135802
084,midj,0.8351623228166437,0.8185328023913259,0.6728395061728395
084,sd_15,0.7155159274500839,0.6577200229756202,0.7345679012345679
661,bgan,0.5337219935985368,0.5547153963417544,0.8703703703703703
661,midj,0.6744017680231672,0.7131887712006033,0.845679012345679
661,sd_15,0.6693339429964944,0.6824961109418386,0.8024691358024691
857,bgan,0.44349184575522016,0.4603477972849217,0.9691358024691358
857,midj,0.6071483005639384,0.6069628800561115,0.9135802469135802
857,sd_15,0.5975461057765585,0.5556865117322831,0.8395061728395061
489,bgan,0.2589544276787075,0.373775561950353,0.9753086419753086
489,midj,0.41106538637402834,0.4405732048163625,0.9691358024691358
489,sd_15,0.5317786922725194,0.5010120640392888,0.8765432098765432
969,bgan,0.4897881420515166,0.47940272898916114,0.9814814814814815
969,midj,0.6339734796524921,0.5882237627089992,0.9320987654320988
969,sd_15,0.552659655540314,0.5100199754717162,0.9320987654320988
177,bgan,0.48868312757201654,0.5288280784663802,0.9320987654320988
177,midj,0.7460752934003962,0.7620479428483355,0.7901234567901234
177,sd_15,0.6449474165523548,0.6263787180571515,0.845679012345679
541,bgan,0.5558603871361074,0.5647267235964653,0.9567901234567902
541,midj,0.8549763755525073,0.8321751897681963,0.5123456790123457
541,sd_15,0.7933241883859168,0.7581602215036094,0.6975308641975309
000,bgan,0.53360768175583,0.49217500794291447,0.8580246913580247
000,midj,0.44787379972565156,0.4393016394304152,0.8827160493827161
000,sd_15,0.71159122085048,0.6803044574869601,0.808641975308642
380,bgan,0.5273967383020881,0.5705810208815707,0.9320987654320988
380,midj,0.5138698369151045,0.5753845316154094,0.9691358024691358
380,sd_15,0.6559213534522177,0.6575549480099503,0.8271604938271605
