CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.3750190519737845,0.4194686257610691,0.9691358024691358
571,midj,0.5320073159579333,0.5039019946483263,0.9259259259259259
571,sd_15,0.7128105471726871,0.6881077389294284,0.7160493827160493
084,bgan,0.33287608596250573,0.39855351654321447,0.9753086419753086
084,midj,0.6737158969669257,0.6613574062451033,0.8518518518518519
084,sd_15,0.7628410303307424,0.7405362523073507,0.6666666666666666
661,bgan,0.345717116293248,0.39598191304493413,0.9629629629629629
661,midj,0.5469821673525377,0.5488635835410158,0.9382716049382716
661,sd_15,0.6139308032312147,0.5827882812934704,0.8827160493827161
857,bgan,0.3582914189910074,0.41088878029572196,0.9876543209876543
857,midj,0.5429812528577961,0.5467650745317492,0.9074074074074074
857,sd_15,0.5409236396890719,0.5411476169260947,0.9012345679012346
489,bgan,0.28021643042219174,0.36608007055037445,1.0
489,midj,0.5685108977290048,0.5043270572090806,0.8518518518518519
489,sd_15,0.3849260783417162,0.42331441286809984,0.9197530864197531
969,bgan,0.29850632525529647,0.3773606168056365,0.9938271604938271
969,midj,0.5220621856424326,0.4959013358228409,0.9444444444444444
969,sd_15,0.6738302088096326,0.6164750079393276,0.7469135802469136
177,bgan,0.3458695320835239,0.4106031513595658,1.0
177,midj,0.6652949245541838,0.6928427756857771,0.8580246913580247
177,sd_15,0.4420819996951684,0.47584140548662246,0.9444444444444444
541,bgan,0.4634202103337906,0.4768416856479456,0.9691358024691358
541,midj,0.6231519585429051,0.6441161402693232,0.9567901234567902
541,sd_15,0.7935528120713307,0.8034280818922366,0.9444444444444444
000,bgan,0.4317177259564091,0.44951766052737296,0.9753086419753086
000,midj,0.5018670934308794,0.48358890126459986,0.9382716049382716
000,sd_15,0.5522786160646244,0.5758815705168974,0.9382716049382716
380,bgan,0.4454732510288066,0.4795836853365524,0.9691358024691358
380,midj,0.3739140374942844,0.43790394676604494,0.9814814814814815
380,sd_15,0.7615454961133974,0.766474711226292,0.7592592592592593
