CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.24588477366255143,0.35482974002984724,0.9753086419753086
571,midj,0.37296143880506016,0.4266838879670153,0.9876543209876543
571,sd_15,0.8895366559975613,0.8789125616533349,0.4012345679012346
084,bgan,0.2250038103947569,0.3495606118166728,0.9938271604938271
084,midj,0.5774653254077122,0.549708793709393,0.9197530864197531
084,sd_15,0.7682898948331047,0.6848463874012822,0.7469135802469136
661,bgan,0.21909769852156682,0.3475270135023832,0.9938271604938271
661,midj,0.46673525377229086,0.48770816777789205,0.9444444444444444
661,sd_15,0.7076665142508763,0.7001115888915201,0.8333333333333334
857,bgan,0.19836915104404818,0.3419605081300768,0.9753086419753086
857,midj,0.3350099070263679,0.39192485819661566,0.9876543209876543
857,sd_15,0.6835848193872884,0.6532769433213041,0.8148148148148148
489,bgan,0.180612711476909,0.3377052024706389,0.9938271604938271
489,midj,0.4154854442920286,0.41770964528272314,0.8888888888888888
489,sd_15,0.4301173601585125,0.4402931342179939,0.9074074074074074
969,bgan,0.2258039932937052,0.35146893072496604,0.9814814814814815
969,midj,0.5283874409388813,0.49170231816070537,0.9259259259259259
969,sd_15,0.8006020423715897,0.7796901624185164,0.5925925925925926
177,bgan,0.22065996037189453,0.3482411982279781,0.9876543209876543
177,midj,0.5139460448102424,0.5154669688833595,0.9567901234567902
177,sd_15,0.4324798049077885,0.43364252608346665,0.9320987654320988
541,bgan,0.2844459686023472,0.37059637893178105,0.9814814814814815
541,midj,0.3859548849260783,0.43275258221841373,0.9567901234567902
541,sd_15,0.6229995427526291,0.6419983098037576,0.9012345679012346
000,bgan,0.10878677030940405,0.3218254169973938,0.9938271604938271
000,midj,0.25598231976832797,0.3603769199266562,0.9814814814814815
000,sd_15,0.2439033683889651,0.3620789307982238,0.9938271604938271
380,bgan,0.2958771528730376,0.37204052448950437,0.9691358024691358
380,midj,0.4242112482853224,0.44784878070388223,0.9629629629629629
380,sd_15,0.8242264898643499,0.7852307103118558,0.5123456790123457
