CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.2246227709190672,0.34865214841758646,0.9753086419753086
571,midj,0.3617588782197836,0.4179639454260694,0.9876543209876543
571,sd_15,0.8801249809480263,0.8674824849413647,0.42592592592592593
084,bgan,0.20831428135954888,0.3445665385529595,0.9938271604938271
084,midj,0.5811614083219021,0.5522141667616638,0.9259259259259259
084,sd_15,0.7884849870446579,0.7211204548555419,0.5740740740740741
661,bgan,0.19219631153787536,0.34059179312383675,1.0
661,midj,0.4767565919829294,0.49597111281533124,0.9506172839506173
661,sd_15,0.7311385459533608,0.7239347266622163,0.7901234567901234
857,bgan,0.18118427069044352,0.3375690708329496,0.9814814814814815
857,midj,0.32422648986434993,0.3875231405925965,0.9938271604938271
857,sd_15,0.7048849260783417,0.6684588630302567,0.8024691358024691
489,bgan,0.16617131534827007,0.3343786645956358,0.9876543209876543
489,midj,0.4037875323883554,0.41399146219779276,0.9197530864197531
489,sd_15,0.4695930498399635,0.4698245093719801,0.9197530864197531
969,bgan,0.2149443682365493,0.3477768181774962,0.9876543209876543
969,midj,0.5201188843164152,0.48560090410810175,0.9320987654320988
969,sd_15,0.7980871818320378,0.7806876396094857,0.5925925925925926
177,bgan,0.20972412741960067,0.3451219274232054,0.9938271604938271
177,midj,0.5135269013869838,0.5155230122351782,0.9506172839506173
177,sd_15,0.4263069654016155,0.42935437094889406,0.9135802469135802
541,bgan,0.26428898033836307,0.3628137832713655,0.9876543209876543
541,midj,0.3859929888736473,0.43357193433444235,0.9629629629629629
541,sd_15,0.6376314586191129,0.6552367842888346,0.9074074074074074
000,bgan,0.10086114921505869,0.32052035127256456,0.9938271604938271
000,midj,0.2584971803078799,0.3613130224942181,0.9876543209876543
000,sd_15,0.2588782197835696,0.36889321400642616,0.9938271604938271
380,bgan,0.27720621856424327,0.3653148229300527,0.9629629629629629
380,midj,0.4155616521871666,0.44488409338065193,0.9629629629629629
380,sd_15,0.8151958542905046,0.7786373563392656,0.5370370370370371
